3065, 3167, 5163, 1617
207, 263, 3302, 3859
1579, 2343, 5826, 1908
3597, 1741, 4635, 5279
3084, 1094, 3979, 5068
3055, 4938, 5553, 5675
1353, 3518, 2829, 3814
3035, 1572, 4272, 1712
2669, 2764, 3362, 3529
1259, 382, 4757, 5214
3062, 4675, 5131, 5229
5363, 4498, 5447, 2556
4347, 4212, 4897, 3449
3706, 941, 5473, 1900
765, 4334, 238, 249
1315, 5047, 2265, 5048
5024, 1595, 3982, 5428
3485, 2550, 4424, 5460
3250, 2823, 3530, 3142
1890, 1667, 5086, 3766
4891, 635, 267, 1564
1689, 3597, 367, 5742
1193, 2851, 5429, 3617
